year,tmID,confID,rank,firstRound,semis,finals,o_fgm,o_ftm,o_dreb,o_reb,o_asts,o_pf,o_stl,o_blk,d_fgm,d_ftm,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_blk,won_x,lost_x,GP,confW,confL,win_loss_ratio,ORtg,DRtg,NRtg,TSht_x,OReb,DReb,Reb,3PtR,PPG_x,playoff_qualification,W,L,points,rebounds,assists,steals,blocks,turnovers,TSht_y,AstTO,RebP,ORebP,DRebP,StlR,BlkR,PPG_y,num_awards,won_y,lost_y,post_wins,post_losses
7,SEA,WE,2.0,0.0,0.0,0.0,906.0,544.0,776.0,1099.0,520.0,657.0,201.0,158.0,892.0,490.0,133.0,419.0,1020.0,568.0,691.0,267.0,154.0,20.0,14.0,34.0,13.0,9.0,0.588,0.975,0.943,0.032,0.527,0.32,0.68,0.32,0.331,73.471,1.0,1.0,2.0,2587.0,1257.0,496.0,193.0,158.0,501.0,0.467,0.788,0.158,0.041,0.116,0.021,0.019,6.053,0.0,20.0,14.0,1.0,2.0
8,SEA,WE,4.0,0.0,0.0,0.0,961.0,562.0,821.0,1148.0,514.0,682.0,232.0,127.0,940.0,531.0,164.0,484.0,1031.0,520.0,683.0,297.0,115.0,18.0,16.0,34.0,10.0,10.0,0.529,0.986,0.957,0.029,0.542,0.316,0.684,0.316,0.337,77.765,1.0,1.0,2.0,2490.2,1030.3,517.0,212.0,116.0,506.3,0.469,0.861,0.177,0.054,0.123,0.029,0.019,6.731,2.0,18.0,16.0,1.0,2.0
9,SEA,WE,4.0,0.0,0.0,0.0,964.0,582.0,820.0,1164.0,533.0,620.0,242.0,151.0,987.0,478.0,195.0,528.0,1094.0,591.0,642.0,272.0,112.0,17.0,17.0,34.0,11.0,11.0,0.5,1.008,0.966,0.042,0.541,0.311,0.689,0.311,0.351,80.412,1.0,0.0,2.0,2291.5,1074.0,472.0,220.0,150.0,457.0,0.474,0.831,0.152,0.046,0.107,0.033,0.02,6.286,2.0,6.0,13.0,0.0,0.0
10,SEA,WE,2.0,0.0,0.0,0.0,899.0,552.0,822.0,1162.0,530.0,684.0,269.0,140.0,861.0,512.0,172.0,539.0,1092.0,498.0,674.0,263.0,115.0,22.0,12.0,34.0,13.0,7.0,0.647,0.952,0.909,0.043,0.512,0.309,0.691,0.309,0.316,73.324,1.0,1.0,2.0,2732.2,1166.4,689.0,275.0,170.85,581.85,0.474,1.067,0.159,0.045,0.114,0.037,0.024,7.707,0.0,22.0,12.0,1.0,2.0
2,UTA,WE,5.0,0.0,0.0,0.0,858.0,609.0,732.0,1080.0,522.0,698.0,214.0,157.0,860.0,531.0,156.0,448.0,911.0,503.0,702.0,301.0,112.0,18.0,14.0,32.0,13.0,8.0,0.562,0.989,1.001,-0.012,0.538,0.368,0.632,0.368,0.336,75.406,0.0,,,2455.25,1186.25,520.0,236.25,153.0,559.0,0.5,0.954,0.144,0.043,0.099,0.03,0.018,7.441,0.0,27.65,22.9,0.0,2.35
3,UTA,WE,3.0,0.0,0.0,0.0,811.0,507.0,775.0,1070.0,524.0,622.0,202.0,156.0,789.0,489.0,125.0,429.0,974.0,478.0,645.0,275.0,148.0,19.0,13.0,32.0,11.0,10.0,0.594,0.942,0.948,-0.006,0.514,0.319,0.681,0.319,0.32,68.969,1.0,0.0,2.0,2267.0,1142.0,517.0,207.0,161.0,502.0,0.473,0.827,0.136,0.038,0.098,0.026,0.015,6.387,0.0,14.0,5.0,0.0,2.0
2,WAS,EA,4.0,0.0,0.0,0.0,832.0,403.0,646.0,946.0,521.0,597.0,245.0,126.0,845.0,382.0,149.0,397.0,911.0,513.0,595.0,261.0,102.0,14.0,18.0,32.0,13.0,8.0,0.438,0.957,0.976,-0.019,0.526,0.329,0.671,0.329,0.325,68.0,1.0,0.0,2.0,2349.5,1045.5,387.0,254.5,123.0,501.0,0.484,0.685,0.129,0.042,0.083,0.028,0.01,5.633,0.0,9.65,8.9,0.0,2.35
3,WAS,EA,8.0,0.0,0.0,0.0,739.0,333.0,699.0,1055.0,424.0,537.0,257.0,127.0,791.0,347.0,146.0,408.0,1068.0,487.0,543.0,261.0,103.0,10.0,22.0,32.0,4.0,17.0,0.312,0.847,0.913,-0.066,0.451,0.326,0.674,0.326,0.28,60.25,0.0,,,1658.0,1030.0,394.0,241.0,128.0,436.0,0.409,0.728,0.155,0.058,0.097,0.031,0.01,4.186,0.0,10.0,5.95,0.0,2.05
4,WAS,EA,3.0,1.0,0.0,0.0,806.0,359.0,708.0,1038.0,516.0,583.0,221.0,94.0,786.0,397.0,147.0,446.0,989.0,442.0,570.0,237.0,101.0,17.0,15.0,32.0,12.0,9.0,0.531,0.951,0.931,0.02,0.503,0.327,0.673,0.327,0.37,66.719,1.0,3.0,2.0,1974.2,900.6,493.0,191.0,57.0,415.0,0.452,1.073,0.126,0.038,0.085,0.031,0.006,5.531,1.0,17.0,15.0,3.0,2.0
5,WAS,EA,7.0,0.0,0.0,0.0,896.0,381.0,703.0,1085.0,568.0,676.0,213.0,99.0,909.0,509.0,171.0,482.0,1115.0,591.0,565.0,251.0,119.0,9.0,25.0,34.0,7.0,17.0,0.265,0.934,1.011,-0.077,0.483,0.328,0.672,0.328,0.311,68.529,0.0,,,2639.0,1180.0,594.8,252.0,99.0,496.8,0.464,0.945,0.15,0.048,0.1,0.033,0.011,7.243,0.0,14.0,7.5,0.0,2.5
6,WAS,EA,4.0,0.0,0.0,0.0,873.0,474.0,726.0,1063.0,467.0,652.0,255.0,128.0,864.0,510.0,146.0,425.0,1106.0,534.0,627.0,237.0,111.0,17.0,17.0,34.0,9.0,11.0,0.5,0.943,0.965,-0.022,0.489,0.304,0.696,0.304,0.371,68.382,1.0,1.0,2.0,1957.3,965.0,361.0,221.0,119.0,399.3,0.465,0.803,0.144,0.047,0.095,0.038,0.017,5.206,0.0,7.0,9.0,0.0,0.0
7,WAS,EA,5.0,0.0,0.0,0.0,847.0,388.0,677.0,943.0,517.0,697.0,260.0,76.0,833.0,489.0,150.0,433.0,1024.0,545.0,638.0,205.0,108.0,16.0,18.0,34.0,9.0,11.0,0.471,0.952,0.963,-0.011,0.512,0.26,0.74,0.26,0.355,66.559,0.0,,,2036.0,841.0,381.0,224.0,66.0,358.0,0.489,0.962,0.127,0.042,0.083,0.029,0.01,6.188,0.0,16.0,18.0,0.0,0.0
8,WAS,EA,4.0,0.0,0.0,0.0,1016.0,528.0,770.0,1100.0,576.0,784.0,306.0,113.0,909.0,635.0,204.0,553.0,1041.0,583.0,687.0,252.0,89.0,18.0,16.0,34.0,12.0,8.0,0.529,1.008,0.974,0.034,0.546,0.314,0.686,0.314,0.358,80.794,1.0,0.0,2.0,2885.4,1166.6,602.0,319.0,127.0,568.6,0.515,1.163,0.142,0.041,0.099,0.036,0.013,7.58,0.0,29.7,22.7,0.0,4.0
9,WAS,EA,5.0,0.0,0.0,0.0,877.0,668.0,783.0,1118.0,472.0,763.0,282.0,133.0,924.0,616.0,175.0,520.0,1208.0,549.0,762.0,256.0,103.0,16.0,18.0,34.0,8.0,12.0,0.471,0.931,0.955,-0.024,0.509,0.289,0.711,0.289,0.309,76.029,0.0,,,2061.0,921.0,326.0,191.0,89.0,392.0,0.469,0.835,0.17,0.075,0.095,0.026,0.011,5.009,0.0,26.0,27.5,0.0,2.5
10,WAS,EA,6.0,0.0,0.0,0.0,885.0,435.0,770.0,1132.0,483.0,757.0,241.0,93.0,929.0,563.0,180.0,528.0,1093.0,542.0,708.0,314.0,146.0,10.0,24.0,34.0,6.0,14.0,0.294,0.878,0.98,-0.102,0.489,0.315,0.685,0.315,0.354,69.647,0.0,,,2395.2,1072.4,536.0,253.0,85.85,557.85,0.459,0.87,0.163,0.051,0.111,0.034,0.015,6.63,0.0,15.2,12.0,0.0,3.0
11,ATL,EA,2.0,0.0,0.0,0.0,1089.0,569.0,855.0,1259.0,547.0,741.0,329.0,121.0,996.0,624.0,181.0,530.0,1174.0,615.0,700.0,347.0,133.0,18.0,16.0,34.0,10.0,12.0,0.529,0.971,0.943,0.028,0.518,0.33,0.67,0.33,0.305,84.147,1.0,0.0,2.0,2842.0,1298.0,610.0,324.0,131.0,533.0,0.5,1.106,0.187,0.061,0.126,0.041,0.025,7.275,1.0,18.0,16.0,0.0,2.0
11,CHI,EA,5.0,0.0,0.0,0.0,930.0,527.0,776.0,1083.0,532.0,605.0,249.0,138.0,1004.0,479.0,206.0,593.0,1156.0,610.0,636.0,273.0,121.0,16.0,18.0,34.0,10.0,12.0,0.471,0.965,1.009,-0.044,0.527,0.278,0.722,0.278,0.395,75.676,0.0,,,1818.4,877.0,293.8,158.0,92.0,381.6,0.508,0.743,0.165,0.049,0.112,0.028,0.016,5.293,0.0,10.0,12.0,0.0,3.6
11,CON,EA,6.0,0.0,0.0,0.0,966.0,517.0,826.0,1184.0,608.0,677.0,250.0,130.0,953.0,591.0,157.0,488.0,1274.0,525.0,684.0,248.0,125.0,16.0,18.0,34.0,10.0,12.0,0.471,0.953,0.953,0.0,0.494,0.275,0.725,0.275,0.316,77.971,0.0,,,2222.6,830.0,394.2,196.0,66.0,427.4,0.497,0.81,0.119,0.032,0.083,0.027,0.006,6.422,1.0,16.0,18.0,0.0,0.0
11,IND,EA,1.0,1.0,1.0,0.0,890.0,613.0,780.0,1122.0,527.0,692.0,373.0,117.0,909.0,529.0,154.0,483.0,1167.0,498.0,700.0,271.0,116.0,22.0,12.0,34.0,17.0,5.0,0.647,0.955,0.912,0.043,0.513,0.287,0.713,0.287,0.334,76.647,1.0,6.0,4.0,3025.1,1179.0,528.7,353.0,170.0,530.4,0.51,0.926,0.157,0.045,0.112,0.043,0.025,8.568,1.0,22.0,12.0,6.0,4.0
11,LAS,WE,3.0,1.0,0.0,0.0,973.0,435.0,883.0,1248.0,587.0,583.0,217.0,166.0,903.0,479.0,213.0,636.0,1050.0,516.0,622.0,300.0,115.0,18.0,16.0,34.0,11.0,9.0,0.529,0.935,0.932,0.003,0.505,0.333,0.667,0.333,0.297,74.5,1.0,3.0,3.0,2413.3,1196.0,626.1,249.0,135.0,536.2,0.501,1.039,0.153,0.04,0.111,0.03,0.02,7.2,0.0,14.0,20.0,0.0,0.0
11,MIN,WE,5.0,0.0,0.0,0.0,949.0,591.0,762.0,1087.0,509.0,693.0,301.0,128.0,1041.0,550.0,195.0,510.0,1165.0,589.0,694.0,250.0,140.0,14.0,20.0,34.0,7.0,13.0,0.412,0.982,1.01,-0.028,0.526,0.277,0.723,0.277,0.348,80.324,0.0,,,2704.4,1200.0,543.8,290.0,85.0,478.59999999999997,0.516,0.904,0.156,0.04,0.112,0.039,0.01,9.215,0.0,10.0,12.0,0.0,3.6
11,NYL,EA,7.0,0.0,0.0,0.0,900.0,458.0,802.0,1082.0,526.0,637.0,276.0,121.0,906.0,531.0,192.0,554.0,1202.0,482.0,590.0,269.0,124.0,13.0,21.0,34.0,9.0,13.0,0.382,0.935,0.95,-0.015,0.518,0.244,0.756,0.244,0.358,73.882,0.0,,,2803.5,1060.0,487.5,215.0,73.0,473.0,0.46,0.879,0.137,0.041,0.093,0.038,0.022,6.154,0.0,9.0,12.0,0.0,0.0
11,PHO,WE,1.0,1.0,1.0,1.0,1128.0,643.0,906.0,1190.0,625.0,740.0,225.0,181.0,1094.0,638.0,205.0,608.0,1285.0,607.0,671.0,260.0,143.0,23.0,11.0,34.0,13.0,7.0,0.676,1.052,1.012,0.04,0.567,0.247,0.753,0.247,0.386,92.824,1.0,7.0,4.0,2995.4,1254.0,540.8,244.0,147.0,552.6,0.516,0.821,0.154,0.042,0.109,0.033,0.014,7.64,3.0,23.0,11.0,7.0,4.0
11,SAS,WE,4.0,0.0,0.0,0.0,936.0,487.0,768.0,1049.0,598.0,596.0,257.0,116.0,1000.0,488.0,173.0,499.0,1188.0,529.0,643.0,268.0,120.0,15.0,19.0,34.0,10.0,10.0,0.441,0.971,0.989,-0.018,0.53,0.254,0.746,0.254,0.346,76.912,1.0,1.0,2.0,2746.4,912.0,537.8,299.0,110.0,424.6,0.511,1.053,0.123,0.029,0.091,0.036,0.013,8.54,0.0,15.0,19.0,1.0,2.0
11,SEA,WE,2.0,0.0,0.0,0.0,909.0,555.0,788.0,1104.0,536.0,710.0,276.0,150.0,882.0,510.0,202.0,585.0,1078.0,517.0,672.0,275.0,131.0,20.0,14.0,34.0,13.0,7.0,0.588,0.954,0.928,0.026,0.524,0.298,0.702,0.298,0.352,74.824,1.0,1.0,2.0,3243.3,1238.0,627.1,301.0,120.0,577.2,0.499,0.824,0.139,0.039,0.098,0.029,0.015,8.335,1.0,20.0,14.0,1.0,2.0
11,TUL,WE,5.5,0.0,0.0,0.0,904.5,472.5,772.0,1082.5,517.5,600.5,237.0,117.5,904.5,483.5,159.5,485.5,1094.5,507.0,629.0,255.0,118.0,14.5,13.0,34.0,9.5,12.5,0.43,0.94,0.93,-0.02,0.5,0.25,0.67,0.25,0.31,74.66,0.0,,,1968.8999999999999,904.0,314.3,205.0,55.0,388.59999999999997,0.472,0.785,0.129,0.032,0.092,0.029,0.006,4.326,0.0,10.0,12.0,0.0,3.6
11,WAS,EA,4.0,0.0,0.0,0.0,933.0,580.0,803.0,1191.0,453.0,725.0,314.0,118.0,945.0,570.0,162.0,478.0,1111.0,524.0,778.0,315.0,156.0,16.0,18.0,34.0,10.0,12.0,0.471,0.927,0.947,-0.02,0.503,0.33,0.67,0.33,0.326,76.029,1.0,0.0,2.0,2443.6,1233.0,394.2,304.0,106.0,482.4,0.489,0.715,0.148,0.043,0.1,0.036,0.01,5.93,1.0,3.0,21.0,0.0,0.0
